,rateRoll_des,ratePitch_des,rateYaw_des,rateRoll,ratePitch,rateYaw,roll,pitch,yaw,roll_d,pitch_d,yaw_d,T,R,P,Y,vx,vy,vz,z
0,0.0,0.0,-0.0,-2.12,3.667,-2.292,0.6,0.4,2.1,0.0,0.0,0.0,32767.0,1359.0,14458.0,16481.0,0.051000000000000004,-0.011,1.087,1.161
1,0.0,5.987,-0.0,-0.63,4.87,2.005,0.6,0.5,2.1,0.0,0.0,0.0,32767.0,1184.0,32767.0,-3842.0,0.051000000000000004,-0.011,1.076,1.172
2,0.0,23.319,-0.0,1.318,6.589,4.584,0.6,0.6,2.2,0.0,0.0,0.0,32767.0,2621.0,32767.0,10243.0,0.05,-0.012,1.072,1.183
3,0.0,51.049,-0.0,2.922,18.105,7.162,0.7,0.9,2.2,0.0,0.0,0.0,32767.0,612.0,9350.0,-3776.0,0.041,-0.017,1.062,1.193
4,0.0,88.232,-0.0,7.047,40.623,9.969,0.7,1.5,2.4,0.0,0.0,0.0,32767.0,-3691.0,4601.0,12963.0,0.038,-0.014,1.05,1.203
5,0.0,133.924,-0.0,6.245,71.047,11.058,0.8,2.5,2.5,0.0,0.0,0.0,32767.0,5694.0,6311.0,-1917.0,0.031,-0.016,1.038,1.214
6,0.0,187.178,-0.0,6.188,109.378,14.61,0.8,3.8,2.6,0.0,0.0,0.0,32767.0,-1446.0,14777.0,11689.0,0.021,-0.014,1.0230000000000001,1.224
7,0.0,247.05,-0.0,8.995,154.985,14.439,1.0,5.7,2.7,0.0,0.0,0.0,32767.0,-3633.0,20425.0,-2546.0,0.022,-0.015,1.01,1.234
8,0.0,312.594,-0.0,13.808,210.562,17.762,1.1,8.2,2.9,0.0,0.0,0.0,32767.0,-13511.0,9766.0,10017.0,0.007,-0.019,0.995,1.244
9,0.0,382.865,-0.0,19.824,277.197,15.527,1.3,11.4,3.0,0.0,0.0,0.0,32767.0,-71.0,13416.0,675.0,0.001,-0.021,0.983,1.2530000000000001
10,0.0,456.917,-0.0,14.725,344.462,20.798,1.4,15.3,3.1,0.0,0.0,0.0,32767.0,-12278.0,8955.0,8928.0,-0.025,-0.025,0.973,1.2630000000000001
